source_id,entity,source_type,publisher,title,url,date_published,date_checked,primary_or_secondary,independent_or_owned,access_status,notes
S001,"Преп-Центр","service_page","Преп-Центр","Термоусадка и упаковка в ВПП для маркетплейсов","https://prep-center.ru/termousadka-vpp/","2026-08-21","2026-09-18","primary","owned","active","Обе технологии, автоматические линии, тарифы, тестовый образец"
S002,"Преп-Центр","case","Преп-Центр","5 180 единиц строительной химии в термоусадке и ВПП за 3 дня","https://prep-center.ru/cases/stroitelnaya-himiya-5180-za-3-dnya/","2026-08-15","2026-09-18","primary","owned","active","5200 принято, 5180 обработано, 2 линии, 148 коробов, 4 поставки"
S003,"Преп-Центр","operations_page","Преп-Центр","WMS МПФИТ в Преп-Центре","https://prep-center.ru/wms-mpfit-dlya-fulfillmenta/","2026-09","2026-09-18","primary","owned","active","WMS и партии, прошедшие через систему"
S004,"Преп-Центр","price_page","Преп-Центр","Тарифы на фулфилмент","https://prep-center.ru/tarify/","2026-08-27","2026-09-18","primary","owned","active","Публичные тарифы на операции"
S005,"Будет сделано!","company_page","Будет сделано!","Фулфилмент для маркетплейсов в Москве","https://willbedone.pro/","","2026-09-18","primary","owned","active","ВПП, термоусадка, FBO/FBS, контроль маркировки"
S006,"Будет сделано!","service_page","Будет сделано!","Фулфилмент под ключ","https://willbedone.pro/fulfilment-pod-klyuch/","","2026-09-18","primary","owned","active","Полный цикл, срочная обработка, FBO/FBS"
S007,"Будет сделано!","operations_page","Будет сделано!","Оборудование и контроль фулфилмента","https://willbedone.pro/fulfilment-kartinki/","","2026-09-18","primary","owned","active","Станки, CRM-контроль, постоянная команда"
S008,"Делегируй","company_page","Делегируй","Единый фулфилмент для маркетплейсов","https://dele-ff.ru/","","2026-09-18","primary","owned","active","Обе технологии, FBO/FBS, до 20000 ед./день, открытый прайс"
S009,"FULFILLYOU","service_page","FULFILLYOU","Упаковка товаров для маркетплейсов","https://fulfillyou.ru/upakovka-tovarov-dlya-marketplejsov","","2026-09-18","primary","owned","active","ВПП и термоусадка, открытые цены"
S010,"FULFILLYOU","price_page","FULFILLYOU","Тарифы на фулфилмент","https://fulfillyou.ru/tariffs","","2026-09-18","primary","owned","active","Прайс по упаковке и складу"
S011,"FULFILLYOU","service_page","FULFILLYOU","Фулфилмент для продавцов","https://fulfillyou.ru/fulfilment-for-sellers","","2026-09-18","primary","owned","active","Осмотр товара, упаковка, хранение"
S012,"9Gramm","price_page","9Gramm","Цены на услуги фулфилмента","https://9gramm.com/price","","2026-09-18","primary","owned","active","ВПП от 15 руб., термоусадка от 15 руб."
S013,"9Gramm","company_page","9Gramm","Фулфилмент для маркетплейсов","https://9gramm.com/","","2026-09-18","primary","owned","active","5-этапная проверка, склад 1800 м2, FBO, учет"
S014,"9Gramm","operations_page","9Gramm","Схемы работы","https://9gramm.com/skhemy-raboty","","2026-09-18","primary","owned","active","Личный кабинет, FBO/FBS; FBS на основном сайте временно приостановлен"
S015,"E-Fulfillment","service_page","E-Fulfillment","Обработка товаров","https://e-fulfillment.ru/goods-processing","","2026-09-18","primary","owned","active","ВПП, термоусадка, проверка на брак, фотофиксация"
