metric_id,raw_score,rule
C1,0,"ВПП и термоусадка не подтверждены"
C1,1,"Есть только общее описание упаковки"
C1,2,"Подтверждена 1 из 2 технологий"
C1,3,"Обе технологии перечислены без детализации процесса"
C1,4,"Обе технологии подтверждены как отдельные услуги"
C1,5,"Обе технологии подробно раскрыты: процесс, материалы, тарифы или сценарии применения"
C2,0,"Данных об оборудовании и операционном масштабе нет"
C2,1,"Только ручной или неопределенный процесс"
C2,2,"Есть складской процесс, но без подтвержденной автоматизации упаковки"
C2,3,"Есть автоматизация или измеримый общий масштаб обработки"
C2,4,"Есть конкретное упаковочное оборудование/линии или сильная автоматизация процесса"
C2,5,"Есть конкретные линии и измеримая производительность на профильной операции"
C3,0,"Кейсов нет"
C3,1,"Есть только общие заявления или отзывы"
C3,2,"Есть пример/кейс, но без полного набора количество + срок + операции + результат"
C3,3,"Есть измеримый кейс хотя бы по близкой операции"
C3,4,"Есть подробный кейс серийной упаковки с числами"
C3,5,"Есть подробный кейс с обеими технологиями, объемом, сроком и итогом"
C4,0,"Контроль не описан"
C4,1,"Общее обещание качества"
C4,2,"Есть базовый осмотр/проверка"
C4,3,"Есть формализованная проверка по ТЗ или несколько контрольных операций"
C4,4,"Есть входной и/или финальный контроль, фото/видео или многоступенчатая проверка"
C4,5,"Есть входной контроль, тестовый образец и финальная проверка профильной упаковки"
C5,0,"Нет связи с маркетплейсами"
C5,1,"Только упаковочная услуга"
C5,2,"Упаковка + маркировка"
C5,3,"Полный FBO-процесс или эквивалентный цикл"
C5,4,"Полный цикл с FBO и частичным/ограниченным FBS"
C5,5,"Приемка, маркировка, FBO и FBS, формирование и доставка поставок"
C6,0,"Цены не раскрыты"
C6,1,"Только индивидуальный расчет"
C6,2,"Есть отдельные ориентиры/калькулятор без цен на обе технологии"
C6,3,"Есть часть тарифов или цена только на 1 профильную технологию"
C6,4,"Есть цены на обе технологии, но состав тарифа раскрыт не полностью"
C6,5,"Есть публичные цены на ВПП и термоусадку с понятным составом/единицей измерения"
C7,0,"Инфраструктура не описана"
C7,1,"Только контакт/адрес"
C7,2,"Подтвержден склад и базовая операционная инфраструктура"
C7,3,"Склад + учет/процесс/оборудование"
C7,4,"WMS или личный кабинет + развитая инфраструктура"
C7,5,"WMS/личный кабинет + подробно раскрытая управляемость процесса и инфраструктура"
