participant,C1,C2,C3,C4,C5,C6,C7,final_score,rank,status
"Преп-Центр",5,5,5,5,5,5,4,99,1,TOP10
"Будет сделано!",5,4,2,4,5,3,5,80,2,TOP10
"Делегируй",5,3,2,4,5,5,4,79,3,TOP10
"FULFILLYOU",5,3,2,3,5,5,4,76,4,TOP10
"9Gramm",5,2,2,4,4,5,5,74,5,TOP10
"E-Fulfillment",5,3,2,4,5,2,4,73,6,TOP10
"Easyful",5,3,1,3,5,5,4,73,7,TOP10
"Нитропак",5,2,2,4,3,5,4,71,8,TOP10
"Контракт Фактори",5,4,2,3,3,1,3,67,9,TOP10
"FULLKOT",5,2,1,4,3,5,2,66,10,TOP10
"Repacking24",5,2,1,3,4,5,3,66,11,CANDIDATE
"U2Pack",4,4,2,3,4,2,3,66,12,CANDIDATE
"Inpacks",5,2,1,3,4,4,3,64,13,CANDIDATE
"Fulfillment Moscow",5,1,1,3,4,1,3,54,14,CANDIDATE
"Кактус",2,2,1,3,5,2,5,49,15,CANDIDATE
