claim_id,entity,claim,source_ids,confidence,used_in
C001,"Преп-Центр","Публично подтверждены ВПП и термоусадка как отдельные услуги","S001","high","C1"
C002,"Преп-Центр","Для ВПП указана автоматическая линия до 1000 изделий в час","S001","high","C2"
C003,"Преп-Центр","Кейс 5200 единиц: 5180 прошли термоусадку и ВПП за 3 рабочих дня","S002","high","C3"
C004,"Преп-Центр","В кейсе выполнены входной контроль, тестовые образцы и финальная проверка","S002","high","C4"
C005,"Преп-Центр","После упаковки сформированы 4 поставки Wildberries и Ozon","S002","high","C5"
C006,"Преп-Центр","На странице услуги опубликованы отдельные тарифы на ВПП и термоусадку","S001;S004","high","C6"
C007,"Преп-Центр","Складские процессы ведутся через WMS МПФИТ","S003","high","C7"
C008,"Будет сделано!","Публично перечислены пупырка и термоусадка","S005;S006","high","C1"
C009,"Будет сделано!","Компания сообщает о станках для упаковки и автоматизированной маркировке","S005;S007","medium","C2"
C010,"Будет сделано!","Контроль включает маркировку, чек-листы и фиксацию договоренностей в CRM","S005;S007","medium","C4"
C011,"Будет сделано!","Подтверждены FBO и FBS, включая регулярные отгрузки","S005;S006","high","C5"
C012,"Делегируй","В прайсе есть термоусадка и пузырчатая пленка","S008","high","C1"
C013,"Делегируй","Заявлена обработка 15000–20000 единиц в день","S008","medium","C2"
C014,"Делегируй","Проверка на брак выполняется по инструкции клиента","S008","high","C4"
C015,"Делегируй","Подтверждены FBO и FBS и ежедневная логистика","S008","high","C5"
C016,"Делегируй","Публично указаны цены на обе профильные упаковочные операции","S008","high","C6"
C017,"FULFILLYOU","ВПП и термоусадка присутствуют в публичном прайсе","S009;S010","high","C1"
C018,"FULFILLYOU","Публично раскрыты цены на обе операции","S009;S010","high","C6"
C019,"FULFILLYOU","При приемке предусмотрен осмотр на явные внешние повреждения","S011","high","C4"
C020,"9Gramm","В прайсе ВПП и термоусадка указаны от 15 рублей","S012","high","C1;C6"
C021,"9Gramm","Описана 5-этапная проверка правильности работ","S013","medium","C4"
C022,"9Gramm","Есть личный кабинет учетной системы для контроля операций","S013;S014","high","C7"
C023,"9Gramm","FBS на основном сайте на дату среза помечен как временно недоступный","S013","high","C5"
C024,"E-Fulfillment","В обработке товаров перечислены ВПП и термоусадочная пленка","S015","high","C1"
C025,"E-Fulfillment","Описаны проверка на брак, фотофиксация и замер габаритов","S015","high","C4"
C026,"E-Fulfillment","Подтверждены схемы FBO и FBS","S016","high","C5"
C027,"Easyful","ВПП и термоусадка опубликованы в прайсе","S018;S019","high","C1;C6"
C028,"Easyful","На сайте заявлена автоматизация приемки, хранения, упаковки, маркировки и доставки","S019","medium","C2"
C029,"Нитропак","ВПП и термоусадка опубликованы как отдельные услуги с ценами","S020;S021","high","C1;C6"
C030,"Нитропак","Описан процесс приемка → проверка брака → упаковка → маркировка → FBO","S020","high","C4;C5"
C031,"Контракт Фактори","Есть собственное термоусадочное оборудование и упаковка жидких средств в пупырку","S022","high","C1;C2"
C032,"FULLKOT","Прайс содержит отдельные строки ВПП и термоусадки для товаров разных размеров","S023","high","C1;C6"
C033,"FULLKOT","Прайс содержит несколько уровней проверки брака по ТЗ","S023","high","C4"
C034,"Repacking24","Публичный прайс содержит ВПП и термоусадку","S024","high","C1;C6"
C035,"Repacking24","Описан цикл от забора и приемки до маркировки и доставки на маркетплейс","S024","high","C5"
C036,"U2Pack","Термоусадочная упаковка является отдельной услугой промышленного копакинг-центра","S025","high","C1;C2"
C037,"U2Pack","Центр находится в Москве и может отгружать на WB/Ozon","S026","high","C5"
C038,"Inpacks","На странице упаковки перечислены термоусадочная и пузырчатая пленка","S027","high","C1"
C039,"Inpacks","Прайс раскрывает стоимость ВПП и часть упаковочных операций","S028","high","C6"
C040,"Fulfillment Moscow","На сайте перечислены воздушно-пузырьковая и термоусадочная пленка","S029","high","C1"
C041,"Fulfillment Moscow","Описаны приемка, маркировка, комплектация и работа с Wildberries/Ozon","S029","high","C5"
C042,"Кактус","Подтверждены 18 маркетплейсов и личный кабинет в реальном времени","S030","high","C5;C7"
C043,"Кактус","Отдельную текущую услугу термоусадки по найденной странице подтвердить не удалось","S030","medium","C1"
C044,"Преп-Центр","Предыдущая редакционная публикация зафиксировала тот же buyer scenario в августе 2026","S031","high","provenance"
